,Gender,TypeofDisability,castecategory,Religion,Candidate State,Candidate District,PartnerName,TC State,TC District,TC Constituency,TC Name,SectorName,JobRole,TotalCandidatesinBatch,agegroup,EducationLevel,placed
19934,2,1,3,3,17,303,135,17,305,288,1724,6,55,1,3,3,
58270,2,1,3,3,5,299,61,5,298,282,474,6,41,1,4,3,
143862,2,1,3,3,8,16,115,8,16,16,1826,26,119,1,7,2,
72890,1,1,3,3,13,414,59,13,410,379,882,1,24,1,3,2,
83926,1,1,3,7,7,373,268,7,13,13,466,3,9,1,3,3,
23158,2,1,1,4,6,12,33,6,12,12,3430,4,7,1,4,3,
135257,1,1,3,3,13,50,59,13,51,194,843,1,24,1,3,2,
88586,1,1,3,1,35,630,558,35,628,518,7401,6,41,1,4,3,
46030,1,1,1,3,6,8,1513,6,8,8,4692,1,1,1,3,2,
74298,1,1,1,3,5,247,385,5,250,151,755,3,9,1,2,2,
85455,1,1,1,3,24,463,109,23,508,453,2925,21,111,6,4,2,
42785,2,1,4,1,6,17,45,6,17,17,1036,28,63,1,3,2,
22461,2,1,4,7,15,173,87,15,170,98,225,3,20,1,2,2,
87492,2,1,1,7,3,35,652,3,35,35,1561,4,4,1,2,2,
123462,1,1,1,3,16,89,89,16,96,94,2218,5,5,1,3,3,
8810,1,1,1,3,8,16,1243,8,91,16,3756,3,9,1,3,3,
85237,1,1,3,4,3,62,219,3,398,230,2595,3,9,3,2,3,
70683,1,1,3,3,3,69,133,3,68,4,6468,7,11,1,6,2,
124824,1,1,3,3,6,79,730,6,77,78,2661,7,62,1,5,2,
119656,2,1,3,3,8,80,315,8,78,79,608,5,77,1,2,2,
27870,2,1,1,3,6,140,171,6,137,133,626,15,82,1,4,2,
77909,2,1,4,3,1,280,45,1,341,317,1162,2,2,1,3,3,
17008,2,1,2,2,32,626,386,32,626,338,3109,3,19,1,4,3,
98847,1,1,3,3,5,171,912,5,284,158,6125,25,73,1,3,2,
118203,1,1,2,3,21,465,99,21,457,262,1144,1,24,1,3,2,
51646,1,1,3,3,20,113,45,20,110,107,2341,1,1,1,4,3,
136852,2,1,3,3,14,374,247,14,325,309,548,3,44,1,3,2,
119475,1,1,1,4,5,259,341,5,179,171,2972,21,53,12,3,5,
36077,1,1,3,3,6,47,1978,6,48,47,6439,3,9,1,3,3,
63560,1,1,3,3,5,109,296,5,107,104,1964,1,1,1,5,3,
57087,2,1,4,3,8,276,310,8,269,258,2308,3,9,1,2,3,
21502,1,1,1,1,1,349,318,1,346,231,612,1,1,1,5,2,
122575,2,1,1,1,5,165,574,5,163,158,1295,3,3,1,2,3,
98916,1,1,4,3,1,65,127,1,14,123,163,5,5,1,5,5,
48949,1,1,3,4,8,80,996,8,78,79,2790,1,24,1,5,2,
149501,2,1,1,1,11,244,87,11,246,236,361,18,108,1,3,3,
5275,1,1,3,1,13,50,59,13,51,51,1032,4,7,1,2,3,
73743,2,1,3,1,13,76,59,13,74,180,2099,3,9,1,2,3,
19296,1,1,3,3,13,306,59,13,106,435,1743,1,1,1,3,3,
12410,2,1,3,4,11,141,59,11,138,134,179,3,9,1,3,3,
82577,2,1,1,4,11,108,105,11,105,102,131,20,158,1,2,2,
129197,1,1,3,3,13,421,45,13,414,428,1532,1,24,1,2,5,
65175,1,1,4,3,9,386,383,9,38,38,2509,17,31,1,3,3,
61237,2,1,4,1,8,91,42,8,89,88,910,1,103,1,2,3,
9735,2,1,1,3,3,442,4,3,529,64,1820,5,66,1,3,3,
128451,1,1,3,3,11,256,852,11,259,250,3942,7,62,1,3,3,
75418,2,1,3,3,3,69,3,3,68,4,82,15,32,1,3,2,
96743,2,1,1,4,8,205,783,8,502,33,1997,20,51,1,3,3,
47540,1,1,1,1,17,235,30,17,237,227,346,17,72,1,2,3,
145786,1,1,3,1,1,65,14,1,64,66,2112,1,24,1,4,2,
96584,1,1,3,3,20,266,45,20,238,107,1087,7,10,12,6,2,
58381,1,1,3,1,14,32,31,14,32,32,32,4,4,1,2,3,
78611,1,1,1,3,5,157,426,5,155,150,7112,17,31,1,3,3,
48453,1,1,4,3,5,115,885,5,112,442,2351,1,1,1,3,3,
59302,2,1,1,1,9,218,38,9,216,291,497,24,67,6,3,3,
125855,1,1,3,7,15,254,232,15,257,248,382,6,6,1,3,3,
61914,1,1,4,3,9,518,24,9,24,24,24,18,37,1,2,2,
91381,2,1,3,3,14,400,1945,14,455,414,6318,24,67,1,7,2,
66721,1,1,1,3,16,219,836,16,217,210,7263,7,10,1,4,2,
111547,1,1,1,3,1,65,566,1,64,66,1286,7,47,1,5,2,
32254,2,1,1,3,11,21,64,11,21,21,1224,3,19,1,3,3,
103713,1,1,3,3,4,37,178,4,37,37,1068,7,10,2,3,2,
46779,2,1,3,1,14,51,54,14,52,52,56,4,4,1,1,2,
121849,2,1,3,3,5,151,953,5,149,144,7716,5,5,1,4,5,
33923,2,1,3,1,3,158,87,3,35,35,204,12,17,1,3,2,
3036,1,1,3,3,3,41,524,3,41,41,1949,9,43,1,3,3,
55296,2,1,1,5,5,281,64,5,278,265,430,12,17,1,4,3,
56765,2,1,3,3,21,522,2169,21,512,456,7061,22,91,6,3,4,
21606,2,1,3,5,13,122,59,13,118,115,150,1,24,1,3,2,
148618,2,1,3,3,6,140,337,6,137,133,3967,4,4,1,3,3,
73701,1,1,3,1,24,319,87,23,320,302,529,6,55,1,3,3,
92833,2,1,1,5,5,180,45,5,402,371,955,3,38,1,4,3,
104618,2,1,3,3,3,158,27,3,276,41,1545,11,30,1,4,5,
137481,1,1,1,3,8,407,1516,8,91,89,4698,7,11,1,3,2,
75815,2,1,3,5,20,61,45,20,61,62,263,2,2,1,3,3,
23564,2,1,4,1,15,254,87,15,257,248,1457,3,38,1,4,2,
37235,2,1,1,1,6,10,195,6,10,10,3790,22,57,1,3,3,
84842,2,1,1,3,5,346,11,5,190,334,907,3,3,1,3,5,
66843,1,1,3,1,7,597,30,7,590,232,2393,1,8,1,5,2,
102029,1,1,1,3,6,47,579,6,48,47,3704,3,9,1,2,5,
25104,1,1,3,3,12,97,67,12,23,23,72,7,10,1,3,2,
133430,2,1,1,3,6,8,526,6,8,8,1151,14,137,1,2,2,
21883,1,1,3,3,8,149,639,8,147,142,1505,7,11,1,3,3,
116131,1,1,1,3,8,418,87,8,556,143,2430,6,64,1,3,3,
53096,1,1,3,3,13,579,92,13,570,495,2070,10,105,1,6,2,
41248,1,1,3,3,11,295,130,11,295,279,468,17,31,1,3,2,
47460,2,1,4,1,14,241,54,14,243,233,357,4,4,1,3,3,
113585,2,1,4,1,14,311,47,14,312,296,503,12,17,13,2,2,
13088,1,1,1,3,22,427,54,25,428,392,977,3,9,12,3,2,
14432,1,1,1,1,5,31,30,5,31,31,31,1,59,1,3,2,
40861,2,1,4,1,3,9,49,3,9,9,2635,9,35,1,2,3,
109584,1,1,3,3,7,523,74,7,625,267,3527,17,72,1,2,3,
105316,2,1,1,3,5,429,1104,5,350,366,6285,10,18,1,4,3,
5467,1,1,3,4,15,344,209,15,223,216,325,1,24,1,3,2,
138340,1,1,1,1,1,182,14,1,484,73,1353,6,41,1,3,5,
105096,2,1,3,3,13,134,53,13,131,126,170,3,9,1,3,5,
129155,1,1,3,3,25,117,113,24,114,111,144,27,126,1,4,2,
50139,1,1,3,4,4,289,346,4,288,272,867,7,11,3,3,5,
115117,1,1,3,3,12,30,547,12,174,201,1220,6,81,9,3,2,
70249,2,1,1,3,9,77,81,9,75,211,668,19,104,1,3,4,
1802,2,1,4,3,5,152,33,5,65,67,1332,3,9,9,3,3,
128619,1,1,3,3,5,365,727,5,190,334,1828,17,160,1,3,3,
79902,2,1,3,1,19,390,216,17,249,55,6393,10,116,1,7,2,
133820,1,1,3,1,5,118,45,5,115,240,893,9,35,1,2,3,
60605,1,1,3,4,13,419,59,13,331,311,891,7,52,1,4,2,
135120,2,1,1,3,9,24,38,9,42,24,574,5,48,1,4,3,
101659,2,1,1,3,8,343,90,8,342,318,1131,6,6,1,2,3,
92255,1,1,4,1,16,219,135,16,487,210,1274,6,55,1,4,3,
24207,1,1,1,3,8,149,639,8,147,142,1505,7,10,3,3,2,
64632,1,1,1,3,5,109,107,5,107,104,134,3,9,1,2,3,
10637,2,1,1,5,22,119,54,25,116,259,2072,3,19,1,1,3,
90082,2,1,3,1,21,99,67,21,392,361,141,3,3,1,2,2,
88620,2,1,3,3,8,16,1134,8,16,16,3357,3,9,1,2,3,
54869,1,1,3,3,8,36,38,8,36,15,892,5,80,1,2,3,
72030,2,1,4,1,11,530,54,11,522,463,1870,4,7,1,2,2,
104968,2,1,1,3,5,66,33,5,65,67,2772,4,7,1,2,2,
72043,2,1,2,1,8,534,11,8,148,143,5314,3,3,1,3,5,
148311,1,1,1,1,14,40,54,14,40,270,446,3,38,1,2,2,
33521,2,2,1,3,5,259,231,5,179,171,391,13,36,1,7,2,
85768,2,1,3,3,15,44,159,15,45,44,1644,3,9,6,2,3,
53140,1,1,3,3,12,23,8,12,23,23,6525,9,35,1,3,3,
29380,1,1,4,3,15,344,67,15,223,216,5104,3,9,1,2,3,
79971,1,1,3,5,18,338,1288,18,336,118,4414,11,79,1,3,3,
34268,1,1,3,1,3,411,87,3,407,54,923,17,31,1,3,2,
7166,2,1,3,3,13,26,1140,13,26,344,3371,12,17,1,3,3,
66356,2,1,1,1,8,15,38,8,15,15,941,5,80,1,4,2,
61934,2,1,4,3,1,72,45,1,341,317,1162,17,31,7,2,2,
104897,2,1,1,3,5,348,227,5,361,93,371,11,30,1,4,5,
80284,2,1,3,3,13,176,26,13,176,481,2029,10,65,1,3,2,
50650,2,1,1,5,6,8,329,25,152,173,630,23,63,1,4,3,
142761,2,1,3,4,8,300,265,8,301,89,3299,3,19,1,2,2,
145720,2,1,4,3,11,198,135,11,194,188,270,9,36,6,3,2,
12702,1,1,1,1,1,349,318,1,346,231,612,6,6,6,2,2,
18989,1,1,3,7,15,207,496,15,239,186,3140,11,30,1,5,5,
87060,1,1,4,1,11,391,118,11,387,357,152,8,28,1,1,5,
2610,2,1,3,3,5,151,299,5,149,144,1280,3,9,1,5,3,
15517,1,1,2,3,8,407,310,8,91,89,1167,7,10,1,3,2,
43150,1,1,4,3,14,497,47,14,489,439,1315,1,54,1,4,2,
3814,1,1,2,3,16,472,123,16,463,156,1134,31,157,1,3,3,
105469,1,1,3,3,5,281,64,5,278,265,430,6,6,1,3,3,
128270,2,1,4,3,5,171,408,5,39,39,6501,3,9,1,2,3,
84908,2,1,3,3,12,23,23,12,23,23,871,8,12,1,2,2,
13449,1,1,3,3,15,344,477,15,277,214,1007,4,4,1,3,5,
60223,1,1,1,3,1,428,311,1,430,394,3594,9,36,1,2,2,
131404,2,1,3,7,15,195,489,15,192,186,1978,11,30,1,4,5,
131396,1,1,3,3,15,110,392,15,101,98,1901,1,1,2,7,5,
37967,2,1,1,3,5,56,188,5,103,191,279,3,9,1,3,5,
24747,2,1,4,3,22,153,149,25,151,146,197,9,35,9,2,3,
108154,2,1,1,5,1,280,45,1,341,317,1162,14,137,1,3,5,
32778,1,1,3,3,11,141,59,11,138,134,179,7,10,1,2,3,
139671,2,1,3,3,5,56,2141,5,103,100,6967,3,45,1,3,5,
3300,1,1,3,5,24,284,87,23,283,269,436,19,124,1,2,2,
101974,2,1,1,3,11,244,1084,11,246,408,3143,3,9,8,5,5,
114585,1,1,2,2,32,364,45,32,459,355,3180,11,30,1,3,5,
100789,1,1,3,3,24,463,38,23,508,453,1631,1,54,1,2,2,
53701,2,1,1,3,8,449,34,8,443,16,1325,11,30,1,4,5,
15387,1,1,1,3,1,190,255,1,188,1,4164,1,1,1,2,2,
83415,1,1,1,3,4,185,178,4,37,37,1068,7,10,2,4,2,
54503,2,1,3,3,5,56,386,5,103,203,2213,3,19,1,4,3,
30691,1,1,1,3,3,133,497,3,90,64,2083,1,24,1,7,2,
52678,2,1,1,1,8,498,733,8,593,127,2514,15,32,1,1,2,
88246,1,1,1,3,21,99,377,21,542,361,2001,4,4,1,4,3,
117032,1,1,1,3,11,583,12,12,268,90,7460,7,10,1,4,3,
125878,2,1,1,3,8,230,472,8,233,88,4115,10,116,1,3,3,
116059,2,1,4,3,11,328,135,11,464,417,1135,9,21,1,2,3,
145716,2,1,4,3,4,385,5,4,37,37,5,12,17,1,3,5,
6603,2,1,3,3,8,449,90,8,269,258,481,10,18,1,4,2,
6792,2,1,3,3,5,42,106,5,43,42,133,24,67,1,3,3,
19099,2,1,1,5,5,221,61,5,219,212,318,3,3,1,3,3,
115028,1,1,3,3,8,149,639,8,147,142,1505,7,11,1,6,2,
125316,2,1,2,3,11,399,59,11,560,102,1923,9,35,1,2,3,
118818,1,1,3,7,15,96,266,15,93,45,6044,4,4,1,4,3,
126813,2,1,1,3,9,415,437,9,411,380,884,3,9,1,3,2,
61856,2,1,1,3,8,407,397,8,301,89,1622,4,7,1,3,2,
18602,2,1,1,3,3,69,552,3,68,4,1229,4,7,1,2,2,
127698,2,1,1,3,15,110,102,15,101,98,126,11,30,1,4,5,
114333,1,1,3,3,4,437,637,4,5,322,2467,21,95,1,3,3,
134374,1,1,2,3,8,488,555,8,479,354,1234,1,1,1,3,2,
62907,2,1,3,3,5,171,67,5,39,162,223,5,42,1,3,3,
14737,2,1,3,7,15,314,108,15,317,268,1516,24,67,6,4,2,
89186,1,1,3,3,20,113,923,20,110,174,6047,9,35,1,2,3,
130038,2,1,3,1,11,440,59,11,433,397,1043,4,4,1,3,2,
68168,1,1,3,5,33,382,23,21,439,403,1218,11,30,1,7,2,
99627,1,1,3,1,14,51,698,14,52,52,2729,1,8,1,4,2,
53616,1,1,4,3,22,225,45,25,225,146,1120,4,7,1,3,3,
117182,2,1,3,3,5,259,293,5,179,171,1571,21,53,1,5,2,
126226,1,1,1,3,9,500,208,9,24,24,2978,9,35,1,4,3,
100120,1,1,1,3,1,190,212,1,188,182,1130,11,30,1,7,2,
39046,2,1,1,3,22,225,45,25,225,146,1120,4,7,1,5,5,
56700,2,1,1,4,5,294,61,5,279,266,125,9,13,1,2,3,
40553,2,1,3,1,6,542,440,6,534,172,1686,15,222,1,2,3,
22634,1,1,1,1,8,300,11,8,301,89,483,9,21,1,3,3,
72201,1,1,3,3,13,122,59,13,118,115,150,7,52,1,4,6,
19881,1,1,4,1,22,153,608,25,151,243,4979,1,1,1,3,2,
55830,1,1,3,5,18,565,261,18,287,56,449,1,8,1,4,2,
32215,2,1,4,7,15,344,362,15,223,216,701,23,63,1,3,2,
18647,2,1,3,3,11,399,59,11,560,102,1923,2,2,1,4,5,
145396,1,1,1,1,11,141,59,11,138,134,179,1,24,1,2,3,
89,2,1,1,1,5,75,61,5,73,75,89,4,7,1,3,3,
86279,2,1,1,1,11,547,30,11,538,472,3332,14,27,1,2,2,
53951,1,1,3,3,3,3,59,3,3,3,762,1,24,1,5,3,
31112,1,1,3,3,5,39,11,5,321,303,1244,4,4,1,2,3,
1778,2,1,1,4,16,219,135,16,217,210,315,12,17,1,3,3,
79489,1,1,4,1,15,107,54,15,104,101,274,6,81,1,3,3,
77277,2,1,4,3,8,16,45,8,16,16,3056,2,2,3,4,5,
87839,1,1,4,4,12,97,61,5,279,266,125,4,7,1,4,5,
133917,1,1,1,5,5,409,67,5,405,441,141,5,42,1,4,3,
112302,2,1,3,1,20,266,200,20,238,107,1988,15,112,1,2,3,
81568,1,1,3,5,22,154,127,25,152,173,247,1,1,1,6,2,
67340,1,1,4,3,14,241,247,14,243,233,125,7,10,1,4,2,
30493,1,1,1,1,13,26,84,13,26,26,115,7,47,6,3,5,
112095,1,1,1,3,23,248,192,22,251,239,5951,11,16,1,3,3,
37937,2,1,3,1,13,189,59,13,187,384,930,9,21,1,3,3,
90901,2,1,3,4,5,42,465,5,43,42,979,10,14,1,4,3,
80178,2,1,1,3,5,11,382,5,11,11,1400,5,22,1,3,3,
54348,1,1,1,1,11,490,30,11,482,431,1257,17,72,1,2,3,
52555,1,1,1,1,6,8,1093,6,8,8,3206,9,76,1,2,3,
143911,1,1,2,3,16,127,123,16,123,120,157,12,17,1,4,2,
23777,1,1,1,5,7,13,100,7,13,13,121,4,4,1,2,5,
66140,2,1,3,5,5,359,99,5,359,333,1426,19,40,1,4,3,
94123,2,1,1,1,21,146,142,21,144,124,189,7,121,1,3,2,
75459,2,1,3,3,14,40,258,14,455,414,6056,4,4,1,3,5,
137144,1,1,2,1,8,372,65,8,403,423,1209,17,31,1,4,2,
12267,2,1,2,3,14,336,247,14,335,313,585,24,67,1,3,3,
44229,2,1,2,3,21,102,99,21,98,96,120,4,4,1,2,2,
54458,2,1,3,1,3,357,87,3,357,35,1378,3,38,1,2,2,
135802,2,1,1,1,3,357,168,3,357,35,1327,6,6,12,3,2,
88697,1,1,4,3,3,6,436,3,6,6,4249,7,11,9,3,2,
2333,1,1,2,1,10,536,404,10,528,444,1633,5,42,1,2,3,
130360,1,1,1,3,6,8,4,6,8,8,5877,4,4,1,3,3,
110609,1,1,3,3,5,348,1274,28,215,208,3878,4,4,1,5,3,
118145,1,1,4,1,1,239,54,1,622,231,2953,5,22,1,1,2,
78437,2,1,3,5,13,122,1235,13,131,126,3718,9,36,1,3,5,
80081,1,1,3,3,9,77,169,9,75,154,4078,1,1,1,5,5,
143922,1,1,3,4,3,6,401,3,6,6,4900,7,11,1,6,3,
26354,1,1,3,5,20,316,458,20,647,62,5366,1,1,1,3,2,
1677,2,1,3,3,11,242,562,11,244,234,1266,4,4,8,3,3,
132453,2,1,3,1,20,202,186,20,199,174,276,4,132,1,3,3,
54116,1,1,2,3,16,396,123,16,396,120,1206,2,15,1,4,3,
119325,2,1,1,3,4,430,377,4,421,489,5073,3,20,1,2,3,
70651,1,1,3,1,22,73,14,25,419,388,946,1,24,1,5,3,
57731,1,1,3,1,22,138,259,25,135,130,3171,1,24,1,3,3,
46401,1,1,4,3,12,265,2091,12,381,163,6803,1,1,1,1,2,
105059,1,1,1,1,21,99,30,21,392,361,778,7,62,1,1,2,
92502,1,1,4,3,15,173,266,15,170,98,463,1,1,1,4,2,
79883,1,1,4,3,7,13,133,7,13,13,4080,1,1,1,4,2,
86885,1,1,1,1,18,631,142,18,621,263,3200,7,62,5,4,5,
117697,2,1,2,3,9,203,19,9,18,18,1114,9,36,1,3,3,
118633,1,1,3,3,18,251,123,18,253,242,801,7,52,1,2,2,
74177,1,1,1,1,9,436,59,9,425,391,966,2,60,1,3,3,
119859,2,1,3,3,22,439,87,25,135,130,1542,3,20,1,5,2,
23604,1,1,3,1,21,384,67,21,669,352,141,8,28,1,3,3,
118414,2,1,3,3,15,344,1405,15,223,216,4365,3,9,1,3,3,
98908,1,1,3,3,5,345,597,5,343,320,1372,7,11,1,3,2,
74437,2,1,4,7,15,485,787,15,477,429,7363,3,45,1,4,2,
74553,1,1,3,4,4,430,140,4,421,489,512,7,10,1,4,3,
122972,1,1,3,3,4,473,748,4,465,485,1890,16,97,1,6,3,
34815,2,1,1,1,5,180,45,5,402,371,955,9,35,1,4,3,
122810,1,1,3,8,8,287,197,8,286,179,3618,3,9,1,2,3,
112708,1,1,1,1,11,383,19,11,377,351,997,6,6,1,5,5,
57225,1,1,3,5,20,116,787,20,450,110,3104,1,1,2,4,3,
18519,2,1,1,1,23,81,38,22,314,298,1759,5,80,1,4,2,
130947,2,1,3,3,8,16,1134,8,16,16,3357,3,9,1,3,5,
4980,1,1,3,1,9,614,19,9,613,513,2715,1,59,1,4,2,
45672,2,1,1,5,5,346,11,5,344,321,1185,4,4,1,2,3,
24930,2,1,1,3,6,79,244,6,77,78,404,3,38,1,3,3,
41559,1,1,1,1,6,260,22,6,263,254,22,7,52,1,3,2,
7460,1,1,1,3,8,106,363,8,102,99,703,3,9,1,2,3,
94135,1,1,3,5,20,533,1150,20,525,161,3403,1,1,1,2,3,
50664,1,1,3,2,23,194,377,22,314,298,3495,3,20,1,6,3,
59668,1,1,1,1,6,68,87,6,67,69,422,1,24,1,3,2,
56120,1,1,1,5,13,76,335,13,74,459,1526,3,9,12,3,5,
113464,2,1,3,3,9,544,377,1,64,114,4280,3,20,1,4,3,
124016,2,1,3,3,3,124,3,3,167,3,5820,3,3,1,2,2,
128537,2,1,3,3,13,310,59,13,172,367,803,4,4,1,3,3,
22375,1,1,1,5,5,294,531,5,279,266,1171,3,45,1,3,3,
89493,1,1,3,3,13,26,26,13,176,167,3427,10,65,2,3,5,
