,Gender,TypeofDisability,castecategory,Religion,Candidate State,Candidate District,PartnerName,TC State,TC District,TC Constituency,TC Name,SectorName,JobRole,TotalCandidatesinBatch,Result,Certified,agegroup,EducationLevel,placed
129459,2,1,3,4,24,323,19,23,146,285,485,6,81,1,4,2,4,5,
134017,2,1,1,3,5,429,71,5,350,135,3220,3,9,1,1,1,2,3,
86522,2,1,3,1,12,192,804,12,171,48,2051,2,106,1,4,2,2,2,
138465,2,1,3,7,15,282,480,15,491,429,2428,15,32,1,1,1,2,2,
143904,1,1,1,3,3,4,369,3,4,4,7486,1,1,1,1,1,3,2,
118892,2,1,2,3,6,83,297,6,81,192,4989,3,3,1,1,1,3,3,
124586,2,1,3,1,8,326,34,8,202,33,1530,12,17,17,1,1,1,2,
136336,1,5,3,5,20,61,44,20,61,62,1362,13,7,8,1,1,3,2,
16699,2,1,3,1,5,429,11,5,350,135,3286,3,3,1,1,1,3,5,
57856,1,1,1,3,8,622,34,8,623,354,3000,6,6,1,4,2,3,3,
15733,1,1,3,1,16,396,89,16,396,120,786,3,9,1,1,1,7,3,
108864,1,1,1,3,8,300,914,8,16,16,2471,7,11,1,1,1,3,2,
70642,1,1,1,3,8,407,310,8,91,89,1167,1,1,1,1,1,7,2,
63936,2,1,3,1,11,141,830,11,138,134,2155,3,45,2,1,1,1,3,
45629,2,1,1,3,5,271,283,5,219,266,3401,11,30,1,1,1,2,5,
133,1,1,3,3,5,42,106,5,43,42,133,5,5,1,1,1,3,3,
19050,2,1,1,5,5,180,293,5,402,371,845,21,53,1,1,1,2,2,
70016,2,1,1,4,11,440,1021,11,433,397,2874,3,9,1,4,2,2,2,
141424,1,1,1,3,6,79,1681,6,77,78,5362,1,1,1,1,1,4,2,
54427,2,1,1,5,13,26,45,13,26,261,408,2,2,3,1,1,4,5,
22908,2,1,1,1,11,93,74,7,281,267,433,12,17,1,3,2,3,3,
50664,1,1,3,2,23,194,377,22,314,298,3495,3,20,1,4,2,6,3,
14451,1,1,3,7,15,45,61,15,46,45,2115,30,133,2,1,1,3,3,
25645,2,1,3,5,22,225,19,25,225,146,1976,6,6,1,3,2,2,3,
7669,2,1,1,3,14,184,40,14,182,40,3506,11,30,1,3,2,2,5,
58202,2,1,3,3,14,325,296,14,326,46,6667,3,20,6,1,1,4,2,
34956,2,1,4,7,15,314,519,15,317,268,1129,12,17,1,1,1,2,2,
12338,2,1,4,1,5,180,45,5,402,371,955,14,137,1,1,1,3,3,
57386,2,1,4,3,5,171,1007,5,149,144,2816,10,143,1,3,2,4,2,
135183,1,1,3,3,5,259,59,13,131,126,534,1,24,1,1,1,4,2,
67704,1,1,4,3,7,233,74,7,235,225,1932,7,10,1,1,1,6,2,
88705,1,1,1,5,5,144,239,5,142,138,556,1,1,1,1,1,3,2,
50760,2,1,1,3,6,140,2067,6,137,246,6723,3,38,1,1,1,3,2,
128897,1,1,1,1,11,559,830,11,550,188,2155,8,28,1,1,1,2,3,
141805,1,1,1,3,3,133,256,3,90,64,438,4,7,1,4,2,3,2,
26484,2,1,1,3,13,34,35,13,34,34,36,10,25,6,1,1,3,3,
35725,2,1,1,3,1,14,255,1,14,123,1199,9,130,1,1,1,3,5,
7683,1,1,1,1,21,99,316,21,392,361,2590,5,22,1,1,1,2,3,
110248,1,1,3,1,24,128,816,23,124,121,6780,5,22,1,4,2,2,3,
93797,1,1,3,3,3,4,2033,3,4,4,6636,1,1,1,1,1,3,2,
15351,2,1,1,4,15,314,200,15,317,101,4827,24,67,1,1,1,5,2,
124344,2,1,1,3,5,43,61,5,44,43,125,6,41,1,1,1,2,3,
114160,2,1,1,3,5,136,554,5,133,128,1233,3,9,1,1,1,2,5,
134263,2,1,3,3,24,371,19,23,368,213,700,3,45,1,1,1,3,5,
25721,1,1,3,3,7,523,74,7,625,267,3527,17,72,1,4,2,3,5,
80216,2,1,1,3,8,150,145,8,148,143,193,3,9,1,1,1,3,2,
39433,2,1,3,5,13,480,59,13,473,425,1299,2,2,1,1,1,4,3,
148052,2,1,3,3,5,213,1549,5,210,203,4826,3,45,1,1,1,3,4,
36793,2,1,1,3,23,298,602,22,297,281,5758,11,30,1,4,2,5,5,
36179,1,1,1,3,25,117,303,24,114,111,1122,10,50,3,1,1,7,2,
111179,2,1,3,3,5,118,158,5,115,240,5709,3,9,1,1,1,3,3,
109174,1,1,1,3,1,190,860,1,188,182,2657,1,1,1,1,1,1,3,
89107,1,1,4,3,5,58,2289,5,58,59,7448,6,41,1,1,1,6,3,
102312,1,1,1,3,1,182,255,1,14,123,1203,9,130,1,1,1,3,3,
1236,1,1,3,3,12,97,132,12,57,23,171,5,5,1,3,2,3,3,
115696,2,1,3,1,13,189,59,13,187,384,930,14,27,1,3,2,3,3,
117087,2,1,2,3,14,325,47,14,326,46,552,9,35,12,1,1,4,2,
32707,1,1,1,5,30,466,275,30,303,286,487,1,1,1,1,1,6,2,
56469,1,1,3,1,14,464,1339,14,602,296,4113,9,21,1,1,1,4,3,
32677,1,1,1,3,5,262,567,5,265,256,1311,1,1,1,1,1,2,2,
7519,2,1,1,4,9,518,242,9,75,331,2701,3,19,7,1,1,4,5,
19849,2,1,3,5,11,295,105,11,295,279,1101,20,109,1,1,1,3,3,
59380,2,1,1,5,17,235,21,17,237,227,2296,12,17,5,1,1,2,3,
72714,1,1,1,3,7,13,332,7,13,13,634,1,8,1,1,1,2,2,
